0.531572	0.531572	Et
0.744201	0.744201	lorsque
1.211984	1.211984	les
1.435244	1.435244	lutins
1.892396	1.892396	vous
2.200708	2.200708	viennent
2.625966	2.625966	en
2.827963	2.827963	aide
3.784793	3.784793	il
4.071842	4.071842	faut
4.273839	4.273839	leur
4.518362	4.518362	laisser
4.911725	4.911725	de
5.018040	5.018040	la
5.198774	5.198774	nourriture
6.144973	6.144973	ou
6.336338	6.336338	des
6.570230	6.570230	vêtements
7.186854	7.186854	comme
7.505797	7.505797	cadeaux
8.558310	8.558310	pour
8.781570	8.781570	leur
9.026093	9.026093	montrer
9.589559	9.589559	votre
10.089237	10.089237	reconnaissance»
