0.130362	Gemma
0.980819	prend
1.185674	son
1.41536	courage
1.716434	à
1.803342	deux
2.023716	mains,
3.029366	sort
3.311817	un
3.501153	peu
3.6998	la
3.926382	tête
4.652685	et
4.823397	observe
5.288976	longuement
5.813528	la
5.919059	créature...
7.145083	et
7.290965	ses
7.514442	yeux
7.902425	cosmiques.
9.237084	Elle
9.556782	pense
9.857856	y
10.034776	voir…
11.071465	est-ce
11.223554	que
11.381851	cela
11.639471	pourrait
12.132985	être…
13.296932	des
13.486267	larmes?
14.951288	///
14.951288	Hé
15.252363	tout
15.49136	le
15.606203	monde!
16.658411	Je
16.788773	crois
16.90672	que
17.232625	ce
17.331948	n’est
17.670269	pas
17.8565	un
17.934097	monstre
18.309664	effrayant.
19.866546	Regardez!
21.491119	///
21.491119	Elle
21.714597	veut
21.832544	simplement
22.571262	être
22.807155	notre
23.102022	amie.
24.33115	On
24.511174	peut
24.647744	se
24.793625	sentir
25.398878	très
25.777548	seul
26.115869	ici
26.43867	dans
26.600071	l'espace,
26.857691	après
27.258089	tout.
