0.128049	And
0.365853	where
0.62195	they
0.884144	came
1.073168	out
1.256095	on
1.451216	the
1.628045	other
1.993898	side
2.487799	was
2.731701	magical.
3.841455	A
4.073162	place
4.457307	so
4.853648	incredible
5.365842	they
5.591451	had
5.7195	to
5.945109	pinch
6.213401	themselves
6.615839	to
6.774376	make
7.054863	sure
7.304862	they
7.481691	weren't
7.68291	imagining
8.323153	it.
9.006078	Everywhere
9.859735	they
10.158515	looked,
10.725587	there
10.908513	were
11.146317	so
11.347536	many
11.585341	new
12.1829	and
12.40851	beautiful
13.05485	things
13.45119	to...
